Datasett hentet fra;https://hnygard.github.io/sivilombudet-uttalelser/;@hallny / Norske-postlister.no;Kilde;https://www.sivilombudet.no/uttalelser/;Data hentet;09.11.2025 09:09:11
Dato - uttalelse;Dato - publisert;Saksnummer;Lenke uttalelse;Lovreferanse;Tittel
31.10.2025;04.11.2025;SM-2025/1947;https://www.sivilombudet.no/uttalelser/kontrollkommisjonens-vedtak-om-a-innskrenke-en-pasients-forbindelse-med-omverdenen/;forvaltningslov § 57 andre ledd, forvaltningsloven § 24, forvaltningsloven § 25, forvaltningsloven § 33 første ledd, forvaltningsloven § 34 andre ledd, forvaltningsloven § 41, psykisk helsevernloven § 4;
28.10.2025;03.11.2025;SM-2025/3447;https://www.sivilombudet.no/uttalelser/tilbakeforing-av-fradragsfort-inngaende-merverdiavgift-knyttet-til-kapitalvarer/;forvaltningsloven § 13-9 annet ledd, merverdiavgiftsforskriften §, merverdiavgiftsloven §, merverdiavgiftsloven § 9-1, merverdiavgiftsloven § 9-1 annet ledd bokstav b, merverdiavgiftsloven § 9-7 første ledd;
15.10.2025;20.10.2025;SM-2024/5908;https://www.sivilombudet.no/uttalelser/kontrollkommisjonens-vedtak-i-sak-om-bruk-av-mekaniske-tvangsmidler/;forskriften § 26, forvaltningslov § 57 andre ledd, forvaltningsloven § 24, forvaltningsloven § 25, forvaltningsloven § 33 første ledd, forvaltningsloven § 34 andre ledd, psykisk helsevernloven § 4-2 første ledd, psykisk helsevernloven § 4-8 femte ledd, psykisk helsevernloven § 4-8 fjerde ledd;
14.10.2025;20.10.2025;SM-2025/2104;https://www.sivilombudet.no/uttalelser/forvaltningsrettslige-krav-ved-utestengelse-fra-privat-botilbud/;forvaltningsloven §, forvaltningsloven § 2 første ledd, forvaltningsloven § 35, forvaltningsloven§ 16-19, sivilombudsloven § 8, sosialtjenesteloven § 27;
16.10.2025;20.10.2025;SM-2025/779;https://www.sivilombudet.no/uttalelser/manglende-utredning-i-sak-om-tap-av-retten-til-a-praktisere-for-trygdens-regning/;(arkivforskriften) § 9, folketrygdloven §, folketrygdloven § 25-7, folketrygdloven§ 21-4, forvaltningsloven § 17, offentleglova § 4;
10.10.2025;16.10.2025;SM-2025/3072;https://www.sivilombudet.no/uttalelser/innsyn-i-oversikt-over-ansatte-i-mattilsynet/;offentleglova §, offentleglova § 12 bokstav c, offentleglova § 14 første ledd, offentleglova § 24 tredje ledd, offentleglova § 3, offentleglova § 3 første punktum, offentleglova § 4, offentleglova § 4 andre ledd, offentleglova § 9;
10.10.2025;15.10.2025;SM-2025/1393;https://www.sivilombudet.no/uttalelser/om-en-norsk-statsborger-kan-anses-som-en-eos-arbeidstaker-som-kan-gi-avledet-rett-til-utdanningsstotte-til-familiemedlemmer/;forskriften § 8;
01.10.2025;08.10.2025;SM-2025/2283;https://www.sivilombudet.no/uttalelser/utlendingsnemndas-tolkning-av-utlendingsloven-%c2%a7-122-andre-ledd-bokstav-b-vilkaret-om-at-utvisning-ma-vaere-tvingende-nodvendig-av-hensyn-til-offentlig-sikkerhet/;straffeloven § 231, utlendingsforskriften § 19-29, utlendingsloven §, utlendingsloven § 122, utlendingsloven § 122 andre ledd bokstav b, utlendingsloven§ 66-68;
07.10.2025;08.10.2025;SM-2025/4093;https://www.sivilombudet.no/uttalelser/manglende-effektuering-av-trygderettens-kjennelse-omgjoring-av-nav-klageinstans-vedtak/;folketrygdloven § 12-13 andre ledd, folketrygdloven § 21-10 første ledd, forvaltningsloven § 11, trygderettsloven § 21 sjette ledd, trygderettsloven § 26 sjette ledd;
03.10.2025;08.10.2025;SM-2025/1607;https://www.sivilombudet.no/uttalelser/statsforvalterens-behandling-av-en-klage-pa-manglende-iverksetting-av-hjelpetiltak/;forskriften § 4, omsorgstjenesteloven §, omsorgstjenesteloven § 4-2, pasient- og brukerrettighetsloven §, pasient- og brukerrettighetsloven § 2-1, pasient- og brukerrettighetsloven § 2-1 andre ledd, pasient- og brukerrettighetsloven § 7-2, pasient- og brukerrettighetsloven § 7-4, pasient- og brukerrettighetsloven § 7-7, pasient- og brukerrettighetsloven§ 7-2, pasientrettighetsloven § 7-1 første ledd;
22.09.2025;01.10.2025;SM-2025/3014;https://www.sivilombudet.no/uttalelser/taushetsplikt-hjemlet-i-forskrift-tilstrekkelig-hjemmelsgrunnlag-for-unntak-etter-offentleglova-%c2%a7-13-forste-ledd/;(vannressursloven) §, beskyttelsesinstruksen § 2, damsikkerhetsforskriften §, damsikkerhetsforskriften § 7-8, kraftberedskapsforskriften § 6-2, offentleglova §, offentleglova § 12 bokstav c, offentleglova § 13, offentleglova § 13 første ledd, vannressursloven § 36;
18.09.2025;24.09.2025;SM-2025/2442;https://www.sivilombudet.no/uttalelser/innsyn-i-interne-dokumenter-i-bergen-kommune-om-statsforvalterens-provingsplikt-m-m/;arkivforskrifta § 10, arkivforskrifta § 14 første ledd, arkivforskrifta § 9, arkivforskriften § 10, arkivforskriften § 9, arkivlova § 6, forvaltningsloven §, forvaltningsloven § 33 femte ledd, forvaltningsloven § 34 andre ledd, offentleglova §, offentleglova § 11, offentleglova § 14, offentleglova § 15, offentleglova § 16 tredje ledd, offentleglova § 3, offentleglova§, sivilombudsloven § 12;
12.09.2025;19.09.2025;SM-2025/2069;https://www.sivilombudet.no/uttalelser/eget-tiltak-datatilsynets-behandlingstider-forelopige-svar-og-orienteringer-underveis/;forvaltningsloven §, forvaltningsloven § 11, forvaltningsloven§ 11, sivilombudsloven §;
17.09.2025;17.09.2025;SM-2025/171;https://www.sivilombudet.no/uttalelser/asker-kommunes-saksbehandlingstid-og-rutiner-i-byggesaker-og-ulovlighetssaker/;forskriften § 7-1 bokstav c, forvaltningsloven § 1, forvaltningsloven § 11, plan- og bygningsloven § 1-9, plan- og bygningsloven § 32-1 første ledd;
12.09.2025;15.09.2025;SM-2025/5179;https://www.sivilombudet.no/uttalelser/sak-om-skolebytte-ved-kommunens-endring-av-skolekretser/;forvaltningsloven § 34 andre ledd, forvaltningsloven § 34 annet ledd, grunnloven § 104 annet ledd, opplæringslova § 2-6;
03.09.2025;10.09.2025;SM-2025/1874;https://www.sivilombudet.no/uttalelser/opphor-av-barnebidrag-ved-barnevernets-plassering-av-barn-utenfor-hjemmet-lang-saksbehandlingstid-manglende-intern-kommunikasjon-i-nav-og-feilaktig-veiledning/;barnelova § 69, barnevernloven § 15-12, barnevernloven § 15-12 første ledd, barnevernloven§ 15-12, forvaltningsloven § 11;
03.09.2025;09.09.2025;SM-2025/752;https://www.sivilombudet.no/uttalelser/statsforvalteren-i-nordlands-vurdering-og-begrunnelse-i-sak-om-tvangsmedisinering/;forvaltningslov § 57 andre ledd, forvaltningsloven § 24, forvaltningsloven § 25, forvaltningsloven § 33 første ledd, forvaltningsloven § 34 andre ledd, psykisk helsevernloven § 4-4, psykisk helsevernloven § 4-4 fjerde ledd;
28.08.2025;05.09.2025;SM-2025/949;https://www.sivilombudet.no/uttalelser/eget-tiltak-statsforvalteren-i-more-og-romsdals-saksbehandlingstid-i-innsynssaker/;forvaltningsloven § 33 fjerde ledd, offentleglova § 29 første ledd annet punktum, offentleglova § 32 tredje ledd;
