Datasett hentet fra;https://hnygard.github.io/sivilombudsmannen-uttalelser/;@hallny / Norske-postlister.no;Kilde;https://www.sivilombudsmannen.no/uttalelser/;Data hentet;13.03.2020 00:10:18
Dato - uttalelse;Dato - publisert;Saksnummer;Lenke uttalelse;Lovreferanse;Tittel
28.01.2020;06.03.2020;SM-2019/2955;https://www.sivilombudsmannen.no/uttalelser/fylkesmannens-plikt-til-a-folge-opp-vedtak-om-oppheving-av-standpunktkarakter/;forvaltningsloven § 11, forvaltningsloven § 17, forvaltningsloven § 33, opplæringslova § 14-1;Fylkesmannens plikt til å følge opp vedtak om oppheving av standpunktkarakter
14.02.2020;04.03.2020;SM-2018/756;https://www.sivilombudsmannen.no/uttalelser/saksbehandlingstiden-for-byggesaksklager-i-oslo-kommune/;forvaltningsloven § 11;Saksbehandlingstiden for byggesaksklager i Oslo kommune
03.03.2020;03.03.2020;SM-2019/3993;https://www.sivilombudsmannen.no/uttalelser/innsyn-i-anbudskonkurranse-om-bokhandel-pa-oslo-lufthavn/;forvaltningsloven §, forvaltningsloven § 13 første ledd, offentleglova §, offentleglova § 13;Innsyn i anbudskonkurranse om bokhandel på Oslo lufthavn
29.01.2020;24.02.2020;SM-2019/2744;https://www.sivilombudsmannen.no/uttalelser/ansettelse-i-strid-med-utlysningsteksten/;forvaltningsloven § 17 første ledd, forvaltningsloven § 2 annet ledd;Ansettelse i strid med utlysningsteksten
31.01.2020;18.02.2020;SM-2019/617;https://www.sivilombudsmannen.no/uttalelser/avslag-pa-familieinnvandring-til-ektefelle-i-norge-og-etterfolgende-utvisning-pa-grunn-av-tilbakeholdte-opplysninger-om-ekteskapsmotivene/;forvaltningsloven § 25, forvaltningsloven § 25 tredje ledd, sivilombudsmannsloven § 10 andre ledd, sivilombudsmannsloven § 10 annet ledd, utlendingsforskriften § 14-2, utlendingsloven § 40 fjerde ledd, utlendingsloven § 66 første ledd bokstav a;Avslag på familieinnvandring til ektefelle i Norge, og etterfølgende utvisning på grunn av tilbakeholdte opplysninger om ekteskapsmotivene
29.01.2020;17.02.2020;SM-2019/1307;https://www.sivilombudsmannen.no/uttalelser/eiendomsskatt-pa-fellesareal/;eigedomsskattelova § 14 femte ledd, eigedomsskattelova § 3, eigedomsskattelova § 8, sivilombudsmannsloven § 10 andre ledd;Eiendomsskatt på fellesareal
27.01.2020;12.02.2020;SM-2019/2829;https://www.sivilombudsmannen.no/uttalelser/skattemyndighetenes-adgang-og-rutiner-ved-stedlig-kontroll-i-privat-hjem/;forvaltningsloven § 10-15, forvaltningsloven § 10-4, forvaltningsloven § 10-4 første ledd, grunnloven § 102, grunnlovens § 102, ligningsloven § 6-5, straffeprosessloven § 192;Skattemyndighetenes adgang og rutiner ved stedlig kontroll i privat hjem
29.01.2020;06.02.2020;SM-2019/4197;https://www.sivilombudsmannen.no/uttalelser/innsyn-i-korrespondanse-i-anskaffelsessak/;offentleglova §, offentleglova § 15, offentleglova § 18, offentleglova § 23, offentleglova§ 14-26, offentleglova§ 15, sivilombudsmannsloven § 10 annet ledd;Innsyn i korrespondanse i anskaffelsessak
22.01.2020;06.02.2020;SM-2019/4328;https://www.sivilombudsmannen.no/uttalelser/partsinnsyn-i-ansettelsessak-ved-ntnu/;forvaltningsloven § 11;Partsinnsyn i ansettelsessak ved NTNU
30.01.2020;05.02.2020;SM-2019/3486;https://www.sivilombudsmannen.no/uttalelser/innsyn-i-operasjons-og-lydlogg-fra-oslo-politidistrikt/;forvaltningsloven §, offentleglova §, offentleglova § 13 første ledd, offentleglova § 14, offentleglova § 32 tredje ledd, offentleglova § 9, politiregisterforskriften § 53-2, politiregisterloven § 23 andre ledd, politiregisterloven § 23 første ledd, politiregisterloven § 24 nr. 3, sivilombudsmannsloven § 10 andre ledd;Innsyn i operasjons- og lydlogg fra Oslo politidistrikt
23.01.2020;03.02.2020;SM-2019/1404;https://www.sivilombudsmannen.no/uttalelser/sak-om-parkeringstillatelse-for-forflytningshemmede-begrunnelse-og-vurdering-av-klagers-anforsler/;forvaltningsloven § 24, forvaltningsloven § 24 første ledd, forvaltningsloven § 25, forvaltningsloven § 27, forvaltningsloven § 34 annet ledd, forvaltningsloven § 34 annet ledd annet punktum, sivilombudsmannsloven § 10 annet ledd;Sak om parkeringstillatelse for forflytningshemmede – begrunnelse og vurdering av klagers anførsler
16.01.2020;03.02.2020;SM-2019/2676;https://www.sivilombudsmannen.no/uttalelser/utilstrekkelig-kvalifikasjonsvurdering-og-manglende-skriftlighet/;forvaltningsloven § 2 annet ledd, forvaltningsloven § 3 annet ledd;Utilstrekkelig kvalifikasjonsvurdering og manglende skriftlighet
20.01.2020;30.01.2020;SM-2019/3089;https://www.sivilombudsmannen.no/uttalelser/fritak-fra-renovasjonsgebyr-klageorgan-begrunnelse-mv/;forurensningsloven § 30, forurensningsloven § 30 andre ledd andre punktum, forurensningsloven § 83 andre ledd, forurensningsloven § 85 andre ledd tredje punktum, forvaltningsloven §, offentleglova § 3;Fritak fra renovasjonsgebyr – klageorgan, begrunnelse mv.
